source_path,git_blob,owner,disposition,replacement_phase,removal_gate
eblocker-certificate-validator/src/deb/control/prerm,56ec800bc458e957769e68cc2977d4c81ba4b7a9,eblocker-certificate-validator,"retain until replacement parity; inventoried, not semantically certified",R10 PKI and proxy,contract + feature + upgrade tests; no deletion before evidence
eblocker-certificate-validator/src/main/java/org/eblocker/certificate/validator/http/DefaultHttpUrlConnectionBuilder.java,a2bc03c9dafbcde392a1271e495fffa2fbf06846,eblocker-certificate-validator,"retain until replacement parity; inventoried, not semantically certified",R10 PKI and proxy,contract + feature + upgrade tests; no deletion before evidence
eblocker-certificate-validator/src/main/java/org/eblocker/certificate/validator/http/DefaultHttpUrlConnectionBuilderFactory.java,2d8f353e2f5130e41f2fc2177c126f989c4ed87c,eblocker-certificate-validator,"retain until replacement parity; inventoried, not semantically certified",R10 PKI and proxy,contract + feature + upgrade tests; no deletion before evidence
eblocker-certificate-validator/src/main/java/org/eblocker/certificate/validator/http/HttpUrlConnectionBuilder.java,1f2ed9f5c7cf8d01767306c34391af5e5087f1a1,eblocker-certificate-validator,"retain until replacement parity; inventoried, not semantically certified",R10 PKI and proxy,contract + feature + upgrade tests; no deletion before evidence
eblocker-certificate-validator/src/main/java/org/eblocker/certificate/validator/http/HttpUrlConnectionBuilderFactory.java,0ebd0aa2e47d01ad5e40e7ae9ab41167f3a292a0,eblocker-certificate-validator,"retain until replacement parity; inventoried, not semantically certified",R10 PKI and proxy,contract + feature + upgrade tests; no deletion before evidence
eblocker-certificate-validator/src/main/java/org/eblocker/certificate/validator/squid/CachingValidator.java,477ffc85cc24a3fa811bd9d8d7b0ec30c0836b62,eblocker-certificate-validator,"retain until replacement parity; inventoried, not semantically certified",R10 PKI and proxy,contract + feature + upgrade tests; no deletion before evidence
eblocker-certificate-validator/src/main/java/org/eblocker/certificate/validator/squid/CertificateValidationMessage.java,9d0c9cce456fdce11926a276b20a265f4c3712aa,eblocker-certificate-validator,"retain until replacement parity; inventoried, not semantically certified",R10 PKI and proxy,contract + feature + upgrade tests; no deletion before evidence
eblocker-certificate-validator/src/main/java/org/eblocker/certificate/validator/squid/CertificateValidationMessageReader.java,cad6f3b682fa58b84b2382bd43d00810e4da0615,eblocker-certificate-validator,"retain until replacement parity; inventoried, not semantically certified",R10 PKI and proxy,contract + feature + upgrade tests; no deletion before evidence
eblocker-certificate-validator/src/main/java/org/eblocker/certificate/validator/squid/CertificateValidationRequest.java,e679cbcc62a6e3798569b55710c85a1bb780265b,eblocker-certificate-validator,"retain until replacement parity; inventoried, not semantically certified",R10 PKI and proxy,contract + feature + upgrade tests; no deletion before evidence
eblocker-certificate-validator/src/main/java/org/eblocker/certificate/validator/squid/CertificateValidationRequestReader.java,dd75f765f2f14fd58ce91b7b55ce7c17da2dbfed,eblocker-certificate-validator,"retain until replacement parity; inventoried, not semantically certified",R10 PKI and proxy,contract + feature + upgrade tests; no deletion before evidence
eblocker-certificate-validator/src/main/java/org/eblocker/certificate/validator/squid/CertificateValidationResponse.java,c025e74e825458c55a09dd18900656beab9e87d1,eblocker-certificate-validator,"retain until replacement parity; inventoried, not semantically certified",R10 PKI and proxy,contract + feature + upgrade tests; no deletion before evidence
eblocker-certificate-validator/src/main/java/org/eblocker/certificate/validator/squid/CertificateValidationResponseReader.java,274d01f4981b270bb266808701021cb8decb25d0,eblocker-certificate-validator,"retain until replacement parity; inventoried, not semantically certified",R10 PKI and proxy,contract + feature + upgrade tests; no deletion before evidence
eblocker-certificate-validator/src/main/java/org/eblocker/certificate/validator/squid/CertificateValidator.java,213f8c558d819eab979a82455d128b0eaa34df94,eblocker-certificate-validator,"retain until replacement parity; inventoried, not semantically certified",R10 PKI and proxy,contract + feature + upgrade tests; no deletion before evidence
eblocker-certificate-validator/src/main/java/org/eblocker/certificate/validator/squid/CertificateValidatorApp.java,d97302a24208dc5bbd98275ba057d3ec38734e8a,eblocker-certificate-validator,"retain until replacement parity; inventoried, not semantically certified",R10 PKI and proxy,contract + feature + upgrade tests; no deletion before evidence
eblocker-certificate-validator/src/main/java/org/eblocker/certificate/validator/squid/CertificateValidatorProvider.java,be3d5a4ba9bf9a12f27c847e3f76385a7f11577f,eblocker-certificate-validator,"retain until replacement parity; inventoried, not semantically certified",R10 PKI and proxy,contract + feature + upgrade tests; no deletion before evidence
eblocker-certificate-validator/src/main/java/org/eblocker/certificate/validator/squid/CrlCache.java,63a6df1cefbe1e699e49be01a4da5c34392404f0,eblocker-certificate-validator,"retain until replacement parity; inventoried, not semantically certified",R10 PKI and proxy,contract + feature + upgrade tests; no deletion before evidence
eblocker-certificate-validator/src/main/java/org/eblocker/certificate/validator/squid/CrlCacheCertStore.java,faa0ecec4028c03d3fadfc103d20d670b1da351e,eblocker-certificate-validator,"retain until replacement parity; inventoried, not semantically certified",R10 PKI and proxy,contract + feature + upgrade tests; no deletion before evidence
eblocker-certificate-validator/src/main/java/org/eblocker/certificate/validator/squid/IntermediateCertificatesStore.java,36e6c8c71184e93a85e580cb34383d6f586a1df4,eblocker-certificate-validator,"retain until replacement parity; inventoried, not semantically certified",R10 PKI and proxy,contract + feature + upgrade tests; no deletion before evidence
eblocker-certificate-validator/src/main/java/org/eblocker/certificate/validator/squid/IntermediateProvidingValidator.java,6cf338e9ad6995c64812b3fbc76e196b2a0e9ca2,eblocker-certificate-validator,"retain until replacement parity; inventoried, not semantically certified",R10 PKI and proxy,contract + feature + upgrade tests; no deletion before evidence
eblocker-certificate-validator/src/main/java/org/eblocker/certificate/validator/squid/OcspCache.java,f76ed811e4d2e673c321ce83d6408c867ac18b3a,eblocker-certificate-validator,"retain until replacement parity; inventoried, not semantically certified",R10 PKI and proxy,contract + feature + upgrade tests; no deletion before evidence
eblocker-certificate-validator/src/main/java/org/eblocker/certificate/validator/squid/PinnedCertificateValidator.java,968b6557ce64534ecbd6e2f130782ca6a62e4880,eblocker-certificate-validator,"retain until replacement parity; inventoried, not semantically certified",R10 PKI and proxy,contract + feature + upgrade tests; no deletion before evidence
eblocker-certificate-validator/src/main/java/org/eblocker/certificate/validator/squid/PinnedCertificatesStore.java,291f473354a49c3f7d5ad16a801b413976f74be5,eblocker-certificate-validator,"retain until replacement parity; inventoried, not semantically certified",R10 PKI and proxy,contract + feature + upgrade tests; no deletion before evidence
eblocker-certificate-validator/src/main/java/org/eblocker/certificate/validator/squid/SunCertificateValidator.java,cfc642a5dae086318468de67152270280b145c9e,eblocker-certificate-validator,"retain until replacement parity; inventoried, not semantically certified",R10 PKI and proxy,contract + feature + upgrade tests; no deletion before evidence
eblocker-certificate-validator/src/main/package/bin/certificate-validator-log4j2.xml,4f28fe67a0adaed0a53f5115e946fa7dd77d8265,eblocker-certificate-validator,"retain until replacement parity; inventoried, not semantically certified",R7 network agent and R11 packaging,contract + feature + upgrade tests; no deletion before evidence
eblocker-certificate-validator/src/main/package/bin/certificate-validator.sh,9eadc84dee437fc891805bef59b7014d09adf862,eblocker-certificate-validator,"retain until replacement parity; inventoried, not semantically certified",R7 network agent and R11 packaging,contract + feature + upgrade tests; no deletion before evidence
eblocker-certificate-validator/src/main/package/bin/squid-certificate-validator.sh,f14308bd74e057c6ac615fe33a5d019fff3af1a4,eblocker-certificate-validator,"retain until replacement parity; inventoried, not semantically certified",R7 network agent and R11 packaging,contract + feature + upgrade tests; no deletion before evidence
eblocker-certificate-validator/src/main/package/systemd/certvalidator.service,d529f9a8253f68c6cb798d298e791ad9730aad4e,eblocker-certificate-validator,"retain until replacement parity; inventoried, not semantically certified",R7 network agent and R11 packaging,contract + feature + upgrade tests; no deletion before evidence
eblocker-certificate-validator/src/main/resources/certificate-validator.properties,0bf69ed9dc33220bfb711df2b192aab1a1f9c1e0,eblocker-certificate-validator,"retain until replacement parity; inventoried, not semantically certified",R10 PKI and proxy,contract + feature + upgrade tests; no deletion before evidence
eblocker-certificate-validator/src/main/resources/log4j2.xml,58b5b70a38fe28176099e0bbd6609576a11848ac,eblocker-certificate-validator,"retain until replacement parity; inventoried, not semantically certified",R10 PKI and proxy,contract + feature + upgrade tests; no deletion before evidence
eblocker-certificate-validator/src/test/java/org/eblocker/certificate/validator/http/DefaultHttpUrlConnectionBuilderTest.java,b8faa43b92dddfe9d1123bce1fb7d08eaa796080,eblocker-certificate-validator,"retain until replacement parity; inventoried, not semantically certified",R10 PKI and proxy,contract + feature + upgrade tests; no deletion before evidence
eblocker-certificate-validator/src/test/java/org/eblocker/certificate/validator/http/HttpTestUtils.java,0886bf9ba9180542b0291879476446d54e5f9b78,eblocker-certificate-validator,"retain until replacement parity; inventoried, not semantically certified",R10 PKI and proxy,contract + feature + upgrade tests; no deletion before evidence
eblocker-certificate-validator/src/test/java/org/eblocker/certificate/validator/squid/CachingValidatorTest.java,883c86ce4032a982588efe3d41a8b9bed268085a,eblocker-certificate-validator,"retain until replacement parity; inventoried, not semantically certified",R10 PKI and proxy,contract + feature + upgrade tests; no deletion before evidence
eblocker-certificate-validator/src/test/java/org/eblocker/certificate/validator/squid/CertificateMessageReaderTest.java,719f7bb82d45e9e1d09ee930a5478bfedc5bee27,eblocker-certificate-validator,"retain until replacement parity; inventoried, not semantically certified",R10 PKI and proxy,contract + feature + upgrade tests; no deletion before evidence
eblocker-certificate-validator/src/test/java/org/eblocker/certificate/validator/squid/CertificateValidatorAppTest.java,6ba6e115bf1ab5a330da7164915dea08c6633a37,eblocker-certificate-validator,"retain until replacement parity; inventoried, not semantically certified",R10 PKI and proxy,contract + feature + upgrade tests; no deletion before evidence
eblocker-certificate-validator/src/test/java/org/eblocker/certificate/validator/squid/CertificateValidatorProviderTest.java,0001737abb9a6efb5aa9b051e5ffe04eab91a614,eblocker-certificate-validator,"retain until replacement parity; inventoried, not semantically certified",R10 PKI and proxy,contract + feature + upgrade tests; no deletion before evidence
eblocker-certificate-validator/src/test/java/org/eblocker/certificate/validator/squid/CertificateValidatorTestUtil.java,2df265c6dabd84eb30ebcf30021b3eeca60ee950,eblocker-certificate-validator,"retain until replacement parity; inventoried, not semantically certified",R10 PKI and proxy,contract + feature + upgrade tests; no deletion before evidence
eblocker-certificate-validator/src/test/java/org/eblocker/certificate/validator/squid/ConcurrentValidatorAppTest.java,a604ce6a615fb2efab0a172985766ea01985347d,eblocker-certificate-validator,"retain until replacement parity; inventoried, not semantically certified",R10 PKI and proxy,contract + feature + upgrade tests; no deletion before evidence
eblocker-certificate-validator/src/test/java/org/eblocker/certificate/validator/squid/CrlCacheCertStoreTest.java,1d244621b8cb480bc77f2093d27ef123ec1854df,eblocker-certificate-validator,"retain until replacement parity; inventoried, not semantically certified",R10 PKI and proxy,contract + feature + upgrade tests; no deletion before evidence
eblocker-certificate-validator/src/test/java/org/eblocker/certificate/validator/squid/CrlCacheTest.java,36309d0c57595283cce557a6cbd045fd077b94af,eblocker-certificate-validator,"retain until replacement parity; inventoried, not semantically certified",R10 PKI and proxy,contract + feature + upgrade tests; no deletion before evidence
eblocker-certificate-validator/src/test/java/org/eblocker/certificate/validator/squid/IntermediateCertificatesStoreTest.java,d25959421eb44603ddfd514863364475b3478f2f,eblocker-certificate-validator,"retain until replacement parity; inventoried, not semantically certified",R10 PKI and proxy,contract + feature + upgrade tests; no deletion before evidence
eblocker-certificate-validator/src/test/java/org/eblocker/certificate/validator/squid/IntermediateProvidingValidatorTest.java,f3f57d3dbbcd79b0a75d537713db84b2bb2b8414,eblocker-certificate-validator,"retain until replacement parity; inventoried, not semantically certified",R10 PKI and proxy,contract + feature + upgrade tests; no deletion before evidence
eblocker-certificate-validator/src/test/java/org/eblocker/certificate/validator/squid/OcspCacheTest.java,7b36aa1be5c1f8289210b9958ebe3427bcd7b00f,eblocker-certificate-validator,"retain until replacement parity; inventoried, not semantically certified",R10 PKI and proxy,contract + feature + upgrade tests; no deletion before evidence
eblocker-certificate-validator/src/test/java/org/eblocker/certificate/validator/squid/PinnedCertificateValidatorTest.java,b860895129dfc2ee5aefc646430fcc3ec37cf1f0,eblocker-certificate-validator,"retain until replacement parity; inventoried, not semantically certified",R10 PKI and proxy,contract + feature + upgrade tests; no deletion before evidence
eblocker-certificate-validator/src/test/java/org/eblocker/certificate/validator/squid/PinnedCertificatesStoreTest.java,739a4958b092df8511da7418a0027e79d84a456f,eblocker-certificate-validator,"retain until replacement parity; inventoried, not semantically certified",R10 PKI and proxy,contract + feature + upgrade tests; no deletion before evidence
eblocker-certificate-validator/src/test/java/org/eblocker/certificate/validator/squid/SunCertificateValidatorTest.java,b2ad01661dee0f9ddfbe150db12f0db435d7c9a6,eblocker-certificate-validator,"retain until replacement parity; inventoried, not semantically certified",R10 PKI and proxy,contract + feature + upgrade tests; no deletion before evidence
eblocker-certificate-validator/src/test/java/org/eblocker/certificate/validator/squid/TestClock.java,518b5e301a9ece8f95cd7e7c9a4244bf03d9166d,eblocker-certificate-validator,"retain until replacement parity; inventoried, not semantically certified",R10 PKI and proxy,contract + feature + upgrade tests; no deletion before evidence
eblocker-certificate-validator/src/test/java/org/eblocker/certificate/validator/squid/TestProperties.java,8766ac282e4603bc5ae267645445aaf3ac1e5788,eblocker-certificate-validator,"retain until replacement parity; inventoried, not semantically certified",R10 PKI and proxy,contract + feature + upgrade tests; no deletion before evidence
eblocker-certificate-validator/src/test/resources/ca-certificates.crt,928698ae72e193d13d95d4fe84d5b86378be711e,eblocker-certificate-validator,"retain until replacement parity; inventoried, not semantically certified",R10 PKI and proxy,contract + feature + upgrade tests; no deletion before evidence
eblocker-certificate-validator/src/test/resources/certificate-validator.properties,d7f59706f222de395c4480ecb075bcaa91d9697e,eblocker-certificate-validator,"retain until replacement parity; inventoried, not semantically certified",R10 PKI and proxy,contract + feature + upgrade tests; no deletion before evidence
eblocker-certificate-validator/src/test/resources/intermediate-certificates.pem,03fe84baa1a4ab9f696dbb47f6022ab1a3095650,eblocker-certificate-validator,"retain until replacement parity; inventoried, not semantically certified",R10 PKI and proxy,contract + feature + upgrade tests; no deletion before evidence
eblocker-certificate-validator/src/test/resources/sample-certs/AmazonServerCa1b-2017-10-11.crl,71c480d2ec3ff6ac2b46c659a88d5561ab120c8a,eblocker-certificate-validator,"retain until replacement parity; inventoried, not semantically certified",R10 PKI and proxy,contract + feature + upgrade tests; no deletion before evidence
eblocker-certificate-validator/src/test/resources/sample-certs/AmazonServerCa1b-2017-10-17.crl,ff3bcf0dcbdd85dc25539f29e1b8ae89d661a29c,eblocker-certificate-validator,"retain until replacement parity; inventoried, not semantically certified",R10 PKI and proxy,contract + feature + upgrade tests; no deletion before evidence
eblocker-certificate-validator/src/test/resources/sample-certs/DigiCertSHA2SecureServerCA.cert,70b86dfd71b9c7cf811e49f9d1bb933df68200ad,eblocker-certificate-validator,"retain until replacement parity; inventoried, not semantically certified",R10 PKI and proxy,contract + feature + upgrade tests; no deletion before evidence
eblocker-certificate-validator/src/test/resources/sample-certs/MicrosoftAzureTLSIssuingCA04.cert,0bc65afdd912f7fd329a27f9d17e4ce61f70fdf2,eblocker-certificate-validator,"retain until replacement parity; inventoried, not semantically certified",R10 PKI and proxy,contract + feature + upgrade tests; no deletion before evidence
eblocker-certificate-validator/src/test/resources/sample-certs/SymantecClass3SecureServerCA-G4.cert,bc1667940847fccfbc459d0cf258c74d272ec4b2,eblocker-certificate-validator,"retain until replacement parity; inventoried, not semantically certified",R10 PKI and proxy,contract + feature + upgrade tests; no deletion before evidence
eblocker-certificate-validator/src/test/resources/sample-certs/Verisign_Class_3_EV_SSL_CA.cert,6858e2a5f103f8d694805b385413395878c2923d,eblocker-certificate-validator,"retain until replacement parity; inventoried, not semantically certified",R10 PKI and proxy,contract + feature + upgrade tests; no deletion before evidence
eblocker-certificate-validator/src/test/resources/sample-certs/Verisign_Revoked.cert,7d85fd94a24053b672072d82d354acd6d6ba0233,eblocker-certificate-validator,"retain until replacement parity; inventoried, not semantically certified",R10 PKI and proxy,contract + feature + upgrade tests; no deletion before evidence
eblocker-certificate-validator/src/test/resources/sample-certs/expired.badssl.com.cert,4ef5abecbe8c6b681bf7ad456f3e0466d22a17f1,eblocker-certificate-validator,"retain until replacement parity; inventoried, not semantically certified",R10 PKI and proxy,contract + feature + upgrade tests; no deletion before evidence
eblocker-certificate-validator/src/test/resources/sample-certs/ocsp-response-fail.der,d6ea065987600ab39440742a3c06d4e01528f677,eblocker-certificate-validator,"retain until replacement parity; inventoried, not semantically certified",R10 PKI and proxy,contract + feature + upgrade tests; no deletion before evidence
eblocker-certificate-validator/src/test/resources/sample-certs/ocsp-response-good.der,2a61de240a887efe848702c40465c734fc4b5420,eblocker-certificate-validator,"retain until replacement parity; inventoried, not semantically certified",R10 PKI and proxy,contract + feature + upgrade tests; no deletion before evidence
eblocker-certificate-validator/src/test/resources/sample-certs/ocsp-response-revoked.der,d4734c1a17ae7600494f5b514892e8a2bf01001a,eblocker-certificate-validator,"retain until replacement parity; inventoried, not semantically certified",R10 PKI and proxy,contract + feature + upgrade tests; no deletion before evidence
eblocker-certificate-validator/src/test/resources/sample-certs/revoked.badssl.com.cert,5a68fe93c080b16a59d88d650aa024b1295dd223,eblocker-certificate-validator,"retain until replacement parity; inventoried, not semantically certified",R10 PKI and proxy,contract + feature + upgrade tests; no deletion before evidence
eblocker-certificate-validator/src/test/resources/sample-certs/www.microsoft.com.cert,016c97afeec318f9be4dfd38ab605cf3a7e2126f,eblocker-certificate-validator,"retain until replacement parity; inventoried, not semantically certified",R10 PKI and proxy,contract + feature + upgrade tests; no deletion before evidence
eblocker-certificate-validator/src/test/resources/sample-certs/xkcd.org.cert,94ed7d7ab44936f4ba9f4166654d8127a9722433,eblocker-certificate-validator,"retain until replacement parity; inventoried, not semantically certified",R10 PKI and proxy,contract + feature + upgrade tests; no deletion before evidence
eblocker-certificate-validator/src/test/resources/squid-validation/squid_cert_validator_key_pairs_bad.txt,02edd8d1179bf9632844ae542a774687a1212270,eblocker-certificate-validator,"retain until replacement parity; inventoried, not semantically certified",R10 PKI and proxy,contract + feature + upgrade tests; no deletion before evidence
eblocker-certificate-validator/src/test/resources/squid-validation/squid_cert_validator_key_pairs_good.txt,787d8b06f14308b9f05fd7c6792398250024836a,eblocker-certificate-validator,"retain until replacement parity; inventoried, not semantically certified",R10 PKI and proxy,contract + feature + upgrade tests; no deletion before evidence
eblocker-icapserver/.gitignore,b512c09d476623ff4bf8d0d63c29b784925dbdf8,eblocker-icapserver,"retain until replacement parity; inventoried, not semantically certified",R8 feature migration,contract + feature + upgrade tests; no deletion before evidence
eblocker-icapserver/.jscsrc,2c63c0851048d8f7bff41ecf0f8cee05f52fd120,eblocker-icapserver,"retain until replacement parity; inventoried, not semantically certified",R8 feature migration,contract + feature + upgrade tests; no deletion before evidence
eblocker-icapserver/.jshintrc,1c19c39065aee2aaba010e75670777dbbb2c9e4d,eblocker-icapserver,"retain until replacement parity; inventoried, not semantically certified",R8 feature migration,contract + feature + upgrade tests; no deletion before evidence
eblocker-icapserver/pom.xml,f23fd08923b37af3964228d49388e6af9fabae84,eblocker-icapserver,"retain until replacement parity; inventoried, not semantically certified",R2 build then R13 legacy removal,contract + feature + upgrade tests; no deletion before evidence
eblocker-icapserver/readme.md,af45a5c52bb32ec742d8ce514baa1eaa751eadfc,eblocker-icapserver,"retain until replacement parity; inventoried, not semantically certified",R8 feature migration,contract + feature + upgrade tests; no deletion before evidence
eblocker-icapserver/src/deb/control/control,718dee1744b780787088f9fc35bc082e65b5aebf,eblocker-icapserver,"retain until replacement parity; inventoried, not semantically certified",R8 feature migration,contract + feature + upgrade tests; no deletion before evidence
eblocker-icapserver/src/deb/control/postinst,050ce08e0a9f85ebddc1cf036aa2552ee3abbd5e,eblocker-icapserver,"retain until replacement parity; inventoried, not semantically certified",R8 feature migration,contract + feature + upgrade tests; no deletion before evidence
eblocker-icapserver/src/deb/control/postrm,1ec7d81cfbc6774ba643da83dfec7e29996f69ab,eblocker-icapserver,"retain until replacement parity; inventoried, not semantically certified",R8 feature migration,contract + feature + upgrade tests; no deletion before evidence
eblocker-icapserver/src/deb/control/prerm,33ec14d729dcc15b36920a324c925e3459de26f1,eblocker-icapserver,"retain until replacement parity; inventoried, not semantically certified",R8 feature migration,contract + feature + upgrade tests; no deletion before evidence
eblocker-icapserver/src/main/java/META-INF/MANIFEST.MF,fefd50391f34c2b592a3b658d9a6497322f96f21,eblocker-icapserver,"retain until replacement parity; inventoried, not semantically certified",R8 feature migration,contract + feature + upgrade tests; no deletion before evidence
eblocker-icapserver/src/main/java/META-INF/beans.xml,9d649687f43aff515a910df62cc89d77391b3624,eblocker-icapserver,"retain until replacement parity; inventoried, not semantically certified",R8 feature migration,contract + feature + upgrade tests; no deletion before evidence
eblocker-icapserver/src/main/java/org/eblocker/server/app/BackgroundServices.java,8a08c5b89636cee731b47bcfc4bff8ff367c74c5,eblocker-icapserver,"retain until replacement parity; inventoried, not semantically certified",R8 feature migration,contract + feature + upgrade tests; no deletion before evidence
eblocker-icapserver/src/main/java/org/eblocker/server/app/DeviceProperties.java,c1d6ce291c418702c497c95a04fbb1cd6ca92060,eblocker-icapserver,"retain until replacement parity; inventoried, not semantically certified",R8 feature migration,contract + feature + upgrade tests; no deletion before evidence
