order,path,controller,methods,route_name,flags,replacement,status
0,/summary/whitelist/config,FilterController,GET,dashboard.filter.config.route,,feature route module,declaration parity verified; handler behavior unchanged
17,/api/ssl/caCertificate.crt,SSLController,GET,public.ssl.root.ca.download.route,,feature route module,declaration parity verified; handler behavior unchanged
18,/api/ssl/firefox/caCertificate.crt,SSLController,GET,public.ssl.root.ca.download.firefox.route,,feature route module,declaration parity verified; handler behavior unchanged
19,/api/ssl/firefox/renewalCertificate.crt,SSLController,GET,public.ssl.renewal.download.firefox.route,,feature route module,declaration parity verified; handler behavior unchanged
20,/api/ssl/renewalCertificate.crt,SSLController,GET,public.ssl.root.renewal.download.route,,feature route module,declaration parity verified; handler behavior unchanged
21,/ssl/status,SSLController,GET,controlbar.ssl.status.get.route,,feature route module,declaration parity verified; handler behavior unchanged
22,/ssl/whitelist,SSLController,POST,errorpageExclusive.whitelist.set.route,,feature route module,declaration parity verified; handler behavior unchanged
23,/ssl/test/{serialNumber},SSLController,POST,public.ssl.root.ca.test,,feature route module,declaration parity verified; handler behavior unchanged
24,/api/ssl/device/status,SSLController,POST,dashboard.sll.device.status.post,,feature route module,declaration parity verified; handler behavior unchanged
25,/api/ssl/status,SSLController,GET,dashboard.ssl.status.get,,feature route module,declaration parity verified; handler behavior unchanged
26,/api/ssl/errors,SSLController,GET,ssl.failed.connections.get,,feature route module,declaration parity verified; handler behavior unchanged
27,/api/ssl/errors,SSLController,DELETE,ssl.failed.connections.delete,,feature route module,declaration parity verified; handler behavior unchanged
28,/api/ssl/errors/recording,SSLController,GET,ssl.error.recording.enabled.get,,feature route module,declaration parity verified; handler behavior unchanged
29,/api/ssl/errors/recording,SSLController,PUT,ssl.error.recording.enabled.set,,feature route module,declaration parity verified; handler behavior unchanged
30,/api/localtimestamp,TimestampController,GET,dashboard.timestamp.route,,feature route module,declaration parity verified; handler behavior unchanged
31,/messages,MessageCenterController,GET,public.messages.get.route,,feature route module,declaration parity verified; handler behavior unchanged
32,/messages/count,MessageCenterController,GET,public.messages.count.route,,feature route module,declaration parity verified; handler behavior unchanged
33,/api/icon/state,ControlBarController,GET,public.messages.iconState.route,,feature route module,declaration parity verified; handler behavior unchanged
34,/messages/action,MessageCenterController,POST,public.messages.action.route,,feature route module,declaration parity verified; handler behavior unchanged
35,/messages/hide,MessageCenterController,POST,public.messages.hide.route,,feature route module,declaration parity verified; handler behavior unchanged
36,/messages/donotshowagain,MessageCenterController,PUT,public.messages.donotshowagain.put.route,,feature route module,declaration parity verified; handler behavior unchanged
37,/anonymous/vpn/profiles,OpenVpnController,GET,controlbar.vpn.profiles.get.route,,feature route module,declaration parity verified; handler behavior unchanged
38,/anonymous/vpn/profiles/status/{device},OpenVpnController,GET,errorpage.vpn.profiles.get.status.device,,feature route module,declaration parity verified; handler behavior unchanged
39,/anonymous/vpn/profile/{id}/status,OpenVpnController,GET,controlbar.vpn.profile.get.status,,feature route module,declaration parity verified; handler behavior unchanged
40,/anonymous/vpn/profile/{id}/status/{device},OpenVpnController,PUT,controlbar.vpn.profile.status.device.set,,feature route module,declaration parity verified; handler behavior unchanged
41,/anonymous/vpn/profile/{id}/status-this,OpenVpnController,PUT,errorpageExclusive.vpn.profile.status.device.set,,feature route module,declaration parity verified; handler behavior unchanged
42,/filter/badge/{pageContextId},FilterController,GET,public.filter.badge.route,,feature route module,declaration parity verified; handler behavior unchanged
43,/controlbar/console/ip,ControlBarController,GET,public.controlbar.console.ip.route,,feature route module,declaration parity verified; handler behavior unchanged
44,/controlbar/deviceRestrictions,ControlBarController,GET,public.controlbar.device.restrictions.route,,feature route module,declaration parity verified; handler behavior unchanged
45,/api/filter/stats/{pageContextId},FilterController,GET,controlbar.filter.getStats.route,,feature route module,declaration parity verified; handler behavior unchanged
46,/api/filter/config,FilterController,GET,controlbar.filter.getConfig.route,,feature route module,declaration parity verified; handler behavior unchanged
47,/api/filter/config,FilterController,PUT,controlbar.filter.putConfig.route,,feature route module,declaration parity verified; handler behavior unchanged
48,/api/filter/blockedAds/{pageContextId},FilterController,GET,controlbar.filter.getBlockedAdsSet.route,,feature route module,declaration parity verified; handler behavior unchanged
49,/api/whitelist/{pageContextId},DomainWhiteListController,GET,controlbar.whitelist.getDomainStatus.route,,feature route module,declaration parity verified; handler behavior unchanged
50,/api/whitelist/{pageContextId},DomainWhiteListController,PUT,controlbar.whitelist.save.route,,feature route module,declaration parity verified; handler behavior unchanged
51,/api/filter/blockedTrackings/{pageContextId},FilterController,GET,controlbar.filter.getBlockedTrackingsSet.route,,feature route module,declaration parity verified; handler behavior unchanged
52,/api/controlbar/device,ControlBarController,GET,controlbar.device.getDevice.route,,feature route module,declaration parity verified; handler behavior unchanged
53,/api/controlbar/device/ads/{deviceId},DeviceController,PUT,controlbar.device.dns.ads.update,,feature route module,declaration parity verified; handler behavior unchanged
54,/api/controlbar/device/trackers/{deviceId},DeviceController,PUT,controlbar.device.dns.trackers.update,,feature route module,declaration parity verified; handler behavior unchanged
55,/api/controlbar/users,ControlBarController,GET,controlbar.users.getUsers.route,,feature route module,declaration parity verified; handler behavior unchanged
56,/api/controlbar/users/operatinguser,ControlBarController,PUT,controlbar.users.setOperatingUser.route,,feature route module,declaration parity verified; handler behavior unchanged
57,/api/controlbar/users/{id}/changepin,UserController,POST,controlbar.users.changePin.route,,feature route module,declaration parity verified; handler behavior unchanged
58,/api/controlbar/console/ip,ControlBarController,GET,controlbar.console.getConsoleIp.route,,feature route module,declaration parity verified; handler behavior unchanged
59,/api/controlbar/registration,DeviceRegistrationController,GET,controlbar.registration.status.route,,feature route module,declaration parity verified; handler behavior unchanged
60,/api/vpn/profiles,OpenVpnController,GET,controlbar.vpn.getProfiles.route,,feature route module,declaration parity verified; handler behavior unchanged
61,/api/vpn/profiles/{id}/status,OpenVpnController,GET,controlbar.vpn.getVpnStatus.route,,feature route module,declaration parity verified; handler behavior unchanged
62,/api/vpn/profiles/status/{device},OpenVpnController,GET,controlbar.vpn.getVpnStatusByDevice.route,,feature route module,declaration parity verified; handler behavior unchanged
63,/api/vpn/profiles/{id}/status/{device},OpenVpnController,PUT,controlbar.vpn.setVpnDeviceStatus.route,,feature route module,declaration parity verified; handler behavior unchanged
64,/api/tor/config,AnonymousController,GET,controlbar.tor.getConfig.route,,feature route module,declaration parity verified; handler behavior unchanged
65,/api/tor/config,AnonymousController,PUT,controlbar.tor.putConfig.route,,feature route module,declaration parity verified; handler behavior unchanged
66,/api/tor/device/showwarnings,DeviceController,GET,controlbar.tor.device.getShowWarnings.route,,feature route module,declaration parity verified; handler behavior unchanged
67,/api/tor/device/showwarnings,DeviceController,POST,controlbar.tor.device.postShowWarnings.route,,feature route module,declaration parity verified; handler behavior unchanged
68,/api/tor/newidentity,AnonymousController,PUT,controlbar.tor.getNewTorIdentity.route,,feature route module,declaration parity verified; handler behavior unchanged
69,/api/useragent/list,UserAgentController,GET,controlbar.useragent.getAgentList.route,,feature route module,declaration parity verified; handler behavior unchanged
70,/api/useragent/cloaked,UserAgentController,GET,controlbar.useragent.getCloakedUserAgentByDeviceId.route,,feature route module,declaration parity verified; handler behavior unchanged
71,/api/useragent/cloaked,UserAgentController,PUT,controlbar.useragent.setCloakedUserAgentByDeviceId.route,,feature route module,declaration parity verified; handler behavior unchanged
72,/api/device/pauseStatus,DeviceController,GET,controlbar.device.get.pausestatus,,feature route module,declaration parity verified; handler behavior unchanged
73,/api/device/pause,DeviceController,POST,controlbar.device.get.pause,,feature route module,declaration parity verified; handler behavior unchanged
74,/api/device/dialogStatus,DeviceController,GET,controlbar.device.getPauseDialogStatus.pause,,feature route module,declaration parity verified; handler behavior unchanged
75,/api/device/dialogStatus,DeviceController,POST,controlbar.device.updatePauseDialogStatus.pause,,feature route module,declaration parity verified; handler behavior unchanged
76,/api/device/dialogStatusDoNotShowAgain,DeviceController,GET,controlbar.device.getPauseDialogStatusShowAgain.pause,,feature route module,declaration parity verified; handler behavior unchanged
77,/api/device/dialogStatusDoNotShowAgain,DeviceController,POST,controlbar.device.updatePauseDialogStatusDoNotShowAgain.pause,,feature route module,declaration parity verified; handler behavior unchanged
78,/api/messages/action,MessageCenterController,POST,controlbar.messages.action.route,,feature route module,declaration parity verified; handler behavior unchanged
79,/api/messages/hide,MessageCenterController,POST,controlbar.messages.hide.route,,feature route module,declaration parity verified; handler behavior unchanged
80,/api/messages,MessageCenterController,GET,controlbar.messages.get.route,,feature route module,declaration parity verified; handler behavior unchanged
81,/api/messages/donotshowagain,MessageCenterController,PUT,controlbar.messages.donotshowagain.put.route,,feature route module,declaration parity verified; handler behavior unchanged
82,/api/controlbar/localtimestamp,TimestampController,GET,controlbar.timestamp.route,,feature route module,declaration parity verified; handler behavior unchanged
83,/api/controlbar/parentalcontrol/usage,ParentalControlController,POST,controlbar.parentalcontrol.usage.start,,feature route module,declaration parity verified; handler behavior unchanged
84,/api/controlbar/parentalcontrol/usage,ParentalControlController,DELETE,controlbar.parentalcontrol.usage.stop,,feature route module,declaration parity verified; handler behavior unchanged
85,/api/controlbar/parentalcontrol/usage,ParentalControlController,GET,controlbar.parentalcontrol.usage,,feature route module,declaration parity verified; handler behavior unchanged
86,/api/controlbar/stats/filter,FilterStatisticsController,GET,public.controlbar.stats.filter.get,,feature route module,declaration parity verified; handler behavior unchanged
87,/api/filter/meta,ParentalControlFilterListsController,GET,controlbar.filterlists.metadata.get.route,,feature route module,declaration parity verified; handler behavior unchanged
88,/api/controlbar/ssl/status,SSLController,GET,controlbar.ssl.status.get,,feature route module,declaration parity verified; handler behavior unchanged
89,/api/adminconsole/settings,SettingsController,GET,public.locale.get.route,,feature route module,declaration parity verified; handler behavior unchanged
90,/api/adminconsole/settings,SettingsController,PUT,adminconsole.locale.put.route,,feature route module,declaration parity verified; handler behavior unchanged
91,/api/adminconsole/systemstatus/shutdown,SystemStatusController,POST,adminconsole.systemstatus.shutdown,,feature route module,declaration parity verified; handler behavior unchanged
92,/api/adminconsole/systemstatus/reboot,SystemStatusController,POST,adminconsole.systemstatus.reboot,,feature route module,declaration parity verified; handler behavior unchanged
93,/api/adminconsole/systemstatus,SystemStatusController,GET,public.adminconsole.systemstatus.get,,feature route module,declaration parity verified; handler behavior unchanged
94,/api/adminconsole/systemstatus/shutdown/onerror,SystemStatusController,POST,public.adminconsole.systemstatus.shutdown,,feature route module,declaration parity verified; handler behavior unchanged
95,/api/adminconsole/systemstatus/reboot/onerror,SystemStatusController,POST,public.adminconsole.systemstatus.reboot,,feature route module,declaration parity verified; handler behavior unchanged
96,/api/adminconsole/authentication/token/{appContext},AuthenticationController,GET,public.token.get.route,,feature route module,declaration parity verified; handler behavior unchanged
97,/api/adminconsole/authentication/login/{appContext},AuthenticationController,POST,public.console.authentication.login.route,,feature route module,declaration parity verified; handler behavior unchanged
98,/api/adminconsole/authentication/renew/{appContext},AuthenticationController,GET,adminconsole.authentication.renew.route,,feature route module,declaration parity verified; handler behavior unchanged
99,/api/adminconsole/authentication/enable,AuthenticationController,POST,adminconsole.authentication.enable.route,,feature route module,declaration parity verified; handler behavior unchanged
100,/api/adminconsole/authentication/disable,AuthenticationController,POST,adminconsole.authentication.disable.route,,feature route module,declaration parity verified; handler behavior unchanged
101,/api/adminconsole/authentication/initiateReset,AuthenticationController,POST,adminconsole.authentication.initiateReset.route,NO_AUTHENTICATION_REQUIRED,feature route module,declaration parity verified; handler behavior unchanged
102,/api/adminconsole/authentication/executeReset,AuthenticationController,POST,adminconsole.authentication.executeReset.route,NO_AUTHENTICATION_REQUIRED,feature route module,declaration parity verified; handler behavior unchanged
103,/api/adminconsole/authentication/cancelReset,AuthenticationController,POST,adminconsole.authentication.cancelReset.route,NO_AUTHENTICATION_REQUIRED,feature route module,declaration parity verified; handler behavior unchanged
104,/api/adminconsole/authentication/wait,AuthenticationController,GET,adminconsole.authentication.wait.route,NO_AUTHENTICATION_REQUIRED,feature route module,declaration parity verified; handler behavior unchanged
105,/api/adminconsole/registration,DeviceRegistrationController,GET,adminconsole.registration.status.route,,feature route module,declaration parity verified; handler behavior unchanged
106,/api/adminconsole/tos,TosController,GET,adminconsole.license.get.tos.route,,feature route module,declaration parity verified; handler behavior unchanged
107,/api/adminconsole/registration,DeviceRegistrationController,POST,adminconsole.registration.register.route,,feature route module,declaration parity verified; handler behavior unchanged
108,/api/adminconsole/registration,DeviceRegistrationController,DELETE,adminconsole.registration.reset.route,,feature route module,declaration parity verified; handler behavior unchanged
109,/api/adminconsole/upsellInfo/{feature},ProductMigrationController,GET,adminconsole.productmigration.getUpsellInfo,,feature route module,declaration parity verified; handler behavior unchanged
110,/api/adminconsole/setup/info,SetupWizardController,GET,adminconsole.setup.info.route,,feature route module,declaration parity verified; handler behavior unchanged
111,/api/adminconsole/updates/status,UpdateController,GET,adminconsole.updates.status.get.route,,feature route module,declaration parity verified; handler behavior unchanged
112,/api/adminconsole/updates/autoupdate,UpdateController,GET,adminconsole.updates.autoupdate.get.route,,feature route module,declaration parity verified; handler behavior unchanged
113,/api/adminconsole/updates/automaticUpdatesStatus,UpdateController,POST,adminconsole.updates.autoupdate.set.route,,feature route module,declaration parity verified; handler behavior unchanged
114,/api/adminconsole/updates/status,UpdateController,POST,adminconsole.updates.status.set.route,,feature route module,declaration parity verified; handler behavior unchanged
115,/api/adminconsole/updates/check,UpdateController,GET,adminconsole.updates.check.set.route,,feature route module,declaration parity verified; handler behavior unchanged
116,/api/adminconsole/updates/automaticUpdatesConfig,UpdateController,POST,adminconsole.updates.autoupdate.config.set.route,,feature route module,declaration parity verified; handler behavior unchanged
117,/api/adminconsole/users,UserController,GET,adminconsole.get.users.route,,feature route module,declaration parity verified; handler behavior unchanged
118,/api/adminconsole/users,UserController,POST,adminconsole.parentalcontrol.store.user.route,,feature route module,declaration parity verified; handler behavior unchanged
119,/api/adminconsole/users,UserController,PUT,adminconsole.parentalcontrol.put.user.route,,feature route module,declaration parity verified; handler behavior unchanged
120,/api/adminconsole/users/dashboard/update/{id},UserController,PUT,adminconsole.parentalcontrol.update.user.dashboard.route,,feature route module,declaration parity verified; handler behavior unchanged
121,/api/adminconsole/users/dashboard/updateall,UserController,PUT,adminconsole.parentalcontrol.update.all.dashboard.route,,feature route module,declaration parity verified; handler behavior unchanged
122,/api/adminconsole/users/{id},UserController,DELETE,adminconsole.parentalcontrol.delete.user.route,,feature route module,declaration parity verified; handler behavior unchanged
123,/api/adminconsole/users/all,UserController,POST,adminconsole.parentalcontrol.delete.all.user.route,,feature route module,declaration parity verified; handler behavior unchanged
124,/api/adminconsole/users/unique,UserController,GET,adminconsole.parentalcontrol.user.unique.route,,feature route module,declaration parity verified; handler behavior unchanged
125,/api/adminconsole/users/{id}/pin,UserController,POST,adminconsole.parentalcontrol.user.set.pin.route,,feature route module,declaration parity verified; handler behavior unchanged
126,/api/adminconsole/users/{id}/pin,UserController,DELETE,adminconsole.parentalcontrol.user.reset.pin.route,,feature route module,declaration parity verified; handler behavior unchanged
127,/api/adminconsole/userprofiles,ParentalControlController,POST,adminconsole.store.profile.route,,feature route module,declaration parity verified; handler behavior unchanged
128,/api/adminconsole/userprofiles,ParentalControlController,GET,adminconsole.parentalcontrol.get.profiles.route,,feature route module,declaration parity verified; handler behavior unchanged
129,/api/adminconsole/userprofiles,ParentalControlController,PUT,adminconsole.put.profile.route,,feature route module,declaration parity verified; handler behavior unchanged
130,/api/adminconsole/userprofiles/{id},ParentalControlController,DELETE,adminconsole.delete.profile.route,,feature route module,declaration parity verified; handler behavior unchanged
131,/api/adminconsole/userprofiles/all,ParentalControlController,POST,adminconsole.delete.all.profile.route,,feature route module,declaration parity verified; handler behavior unchanged
132,/api/adminconsole/userprofile/bonustime/{id},ParentalControlController,POST,adminconsole.userprofile.set.bonustime.route,,feature route module,declaration parity verified; handler behavior unchanged
133,/api/adminconsole/userprofile/bonustime/{id},ParentalControlController,DELETE,adminconsole.userprofile.delete.bonustime.route,,feature route module,declaration parity verified; handler behavior unchanged
134,/api/adminconsole/devices,DeviceController,GET,adminconsole.devices.route,,feature route module,declaration parity verified; handler behavior unchanged
135,/api/adminconsole/devices/scan,DeviceController,GET,adminconsole.devices.scan.available.route,,feature route module,declaration parity verified; handler behavior unchanged
136,/api/adminconsole/devices/scan,DeviceController,POST,adminconsole.devices.scan.route,,feature route module,declaration parity verified; handler behavior unchanged
137,/api/adminconsole/devices/scanningInterval,DeviceController,GET,adminconsole.devices.get.scanning.interval,,feature route module,declaration parity verified; handler behavior unchanged
138,/api/adminconsole/devices/scanningInterval,DeviceController,POST,adminconsole.devices.set.scanning.interval,,feature route module,declaration parity verified; handler behavior unchanged
139,/api/adminconsole/devices/autoEnableNewDevices,DeviceController,GET,adminconsole.devices.get.auto.enable.new.devices,,feature route module,declaration parity verified; handler behavior unchanged
140,/api/adminconsole/devices/autoEnableNewDevices,DeviceController,POST,adminconsole.devices.set.auto.enable.new.devices,,feature route module,declaration parity verified; handler behavior unchanged
141,/api/adminconsole/devices/autoEnableNewDevicesAfterActivation,DeviceController,POST,adminconsole.devices.set.auto.enable.new.devices.after.activation,,feature route module,declaration parity verified; handler behavior unchanged
142,/api/adminconsole/devices/{deviceId},DeviceController,GET,adminconsole.device.get.by.id.route,,feature route module,declaration parity verified; handler behavior unchanged
143,/api/adminconsole/devices/{deviceId},DeviceController,PUT,adminconsole.devices.update.route,,feature route module,declaration parity verified; handler behavior unchanged
144,/api/adminconsole/devices/{deviceId},DeviceController,DELETE,adminconsole.devices.delete.route,,feature route module,declaration parity verified; handler behavior unchanged
145,/api/adminconsole/devices/reset/{deviceId},DeviceController,PUT,adminconsole.devices.reset.route,,feature route module,declaration parity verified; handler behavior unchanged
146,/api/adminconsole/ssl/status,SSLController,GET,adminconsole.ssl.status.get.route,,feature route module,declaration parity verified; handler behavior unchanged
147,/api/adminconsole/ata/status,SSLController,POST,adminconsole.ssl.ata.status.set.route,,feature route module,declaration parity verified; handler behavior unchanged
148,/api/adminconsole/ata/status,SSLController,GET,adminconsole.ssl.ata.status.get.route,,feature route module,declaration parity verified; handler behavior unchanged
149,/api/adminconsole/ssl/status,SSLController,POST,adminconsole.ssl.status.set.route,,feature route module,declaration parity verified; handler behavior unchanged
150,/api/adminconsole/ssl/status/renewal,SSLController,GET,adminconsole.ssl.status.renewal.get,,feature route module,declaration parity verified; handler behavior unchanged
151,/api/adminconsole/ssl/rootca,SSLController,POST,adminconsole.ssl.root.ca.set.route,,feature route module,declaration parity verified; handler behavior unchanged
152,/api/adminconsole/ssl/rootca,SSLController,GET,adminconsole.ssl.root.ca.get,,feature route module,declaration parity verified; handler behavior unchanged
153,/api/adminconsole/ssl/rootca/options,SSLController,GET,adminconsole.ssl.root.ca.options,,feature route module,declaration parity verified; handler behavior unchanged
154,/api/adminconsole/ssl/certs/status,SSLController,GET,adminconsole.ssl.certs.status.get.route,,feature route module,declaration parity verified; handler behavior unchanged
155,/api/adminconsole/ssl/whitelist,SSLController,POST,adminconsole.whitelist.set.route,,feature route module,declaration parity verified; handler behavior unchanged
156,/api/adminconsole/ssl/errors,SSLController,GET,adminconsole.failed.connections.get,,feature route module,declaration parity verified; handler behavior unchanged
157,/api/adminconsole/ssl/errors,SSLController,DELETE,adminconsole.failed.connections.delete,,feature route module,declaration parity verified; handler behavior unchanged
158,/api/adminconsole/ssl/errors/recording,SSLController,GET,adminconsole.error.recording.enabled.get,,feature route module,declaration parity verified; handler behavior unchanged
159,/api/adminconsole/ssl/errors/recording,SSLController,PUT,adminconsole.error.recording.enabled.set,,feature route module,declaration parity verified; handler behavior unchanged
160,/api/adminconsole/trustedapps/id,AppWhitelistModuleController,POST,adminconsole.app.modules.post.route,,feature route module,declaration parity verified; handler behavior unchanged
161,/api/adminconsole/trustedapps/id/{id},AppWhitelistModuleController,GET,adminconsole.app.modules.get.route,,feature route module,declaration parity verified; handler behavior unchanged
162,/api/adminconsole/trustedapps/id/{id},AppWhitelistModuleController,PUT,adminconsole.app.modules.put.route,,feature route module,declaration parity verified; handler behavior unchanged
163,/api/adminconsole/trustedapps/id/{id},AppWhitelistModuleController,DELETE,adminconsole.app.modules.delete.route,,feature route module,declaration parity verified; handler behavior unchanged
164,/api/adminconsole/trustedapps/all,AppWhitelistModuleController,GET,adminconsole.app.modules.getall.route,,feature route module,declaration parity verified; handler behavior unchanged
165,/api/adminconsole/trustedapps/enable,AppWhitelistModuleController,PUT,adminconsole.app.modules.enable.route,,feature route module,declaration parity verified; handler behavior unchanged
166,/api/adminconsole/trustedapps/unique,AppWhitelistModuleController,GET,adminconsole.app.modules.get.unique.route,,feature route module,declaration parity verified; handler behavior unchanged
167,/api/adminconsole/trusteddomains/onlyenabled,AppWhitelistModuleController,GET,adminconsole.app.modules.get.enabled.route,,feature route module,declaration parity verified; handler behavior unchanged
168,/api/adminconsole/trusteddomains/delete,SSLController,PUT,adminconsole.ssl.whitelist.delete.route,,feature route module,declaration parity verified; handler behavior unchanged
169,/api/adminconsole/trusteddomains/deleteall,SSLController,PUT,adminconsole.ssl.whitelist.delete.all.route,,feature route module,declaration parity verified; handler behavior unchanged
170,/api/adminconsole/dns/config/resolvers,DnsController,GET,adminconsole.dns.config.resolvers.get,,feature route module,declaration parity verified; handler behavior unchanged
171,/api/adminconsole/dns/config/resolvers,DnsController,PUT,adminconsole.dns.config.resolvers.set,,feature route module,declaration parity verified; handler behavior unchanged
172,/api/adminconsole/dns/config/records,DnsController,GET,adminconsole.dns.config.records.get,,feature route module,declaration parity verified; handler behavior unchanged
173,/api/adminconsole/dns/config/records,DnsController,PUT,adminconsole.dns.config.records.set,,feature route module,declaration parity verified; handler behavior unchanged
174,/api/adminconsole/dns/cache,DnsController,DELETE,adminconsole.dns.cache.flush,,feature route module,declaration parity verified; handler behavior unchanged
175,/api/adminconsole/dns/status,DnsController,GET,adminconsole.dns.status.get,,feature route module,declaration parity verified; handler behavior unchanged
176,/api/adminconsole/dns/status,DnsController,PUT,adminconsole.dns.status.set,,feature route module,declaration parity verified; handler behavior unchanged
177,/api/adminconsole/dns/stats,DnsController,GET,adminconsole.dns.resolver.stats.get,,feature route module,declaration parity verified; handler behavior unchanged
178,/api/adminconsole/webrtc,AnonymousController,PUT,adminconsole.anonymous.webrtc.route,,feature route module,declaration parity verified; handler behavior unchanged
179,/api/adminconsole/webrtc,AnonymousController,GET,adminconsole.anonymous.webrtc.route,,feature route module,declaration parity verified; handler behavior unchanged
180,/api/adminconsole/referrer,AnonymousController,PUT,adminconsole.anonymous.referrer.route,,feature route module,declaration parity verified; handler behavior unchanged
181,/api/adminconsole/referrer,AnonymousController,GET,adminconsole.anonymous.referrer.route,,feature route module,declaration parity verified; handler behavior unchanged
182,/api/adminconsole/captiveportal,AnonymousController,PUT,adminconsole.anonymous.captiveportal.route,,feature route module,declaration parity verified; handler behavior unchanged
183,/api/adminconsole/captiveportal,AnonymousController,GET,adminconsole.controlbar.anonymous.captiveportal.route,,feature route module,declaration parity verified; handler behavior unchanged
184,/api/adminconsole/dnt,AnonymousController,GET,adminconsole.anonymous.dntheader.get.route,,feature route module,declaration parity verified; handler behavior unchanged
185,/api/adminconsole/dnt,AnonymousController,PUT,adminconsole.anonymous.dntheader.set.route,,feature route module,declaration parity verified; handler behavior unchanged
186,/api/adminconsole/compressionmode,FeatureController,GET,adminconsole.features.compressionmode,,feature route module,declaration parity verified; handler behavior unchanged
187,/api/adminconsole/compressionmode,FeatureController,PUT,adminconsole.features.compressionmode,,feature route module,declaration parity verified; handler behavior unchanged
188,/api/adminconsole/language,LanguageController,POST,adminconsole.language.set.route,,feature route module,declaration parity verified; handler behavior unchanged
189,/api/adminconsole/timezone/continents,TimezoneController,GET,adminconsole.timezone.continents.get.route,,feature route module,declaration parity verified; handler behavior unchanged
190,/api/adminconsole/timezone/continent/countries,TimezoneController,PUT,adminconsole.timezone.continents.put.countries.route,,feature route module,declaration parity verified; handler behavior unchanged
191,/api/adminconsole/events,EventController,GET,adminconsole.events.get.route,,feature route module,declaration parity verified; handler behavior unchanged
192,/api/adminconsole/events/{mode},EventController,DELETE,adminconsole.events.delete.route,,feature route module,declaration parity verified; handler behavior unchanged
193,/api/adminconsole/diagnostics/report,DiagnosticsReportController,POST,adminconsole.diagnostics.report.create.route,,feature route module,declaration parity verified; handler behavior unchanged
194,/api/adminconsole/diagnostics/report,DiagnosticsReportController,GET,adminconsole.diagnostics.report.status.route,,feature route module,declaration parity verified; handler behavior unchanged
195,/api/adminconsole/diagnostics/download,DiagnosticsReportController,GET,adminconsole.diagnostics.report.download.route,,feature route module,declaration parity verified; handler behavior unchanged
196,/api/adminconsole/factoryreset,FactoryResetController,GET,adminconsole.system.factoryreset.route,,feature route module,declaration parity verified; handler behavior unchanged
197,/api/adminconsole/filterlists,ParentalControlFilterListsController,GET,adminconsole.controlbar.filterlists.get.route,,feature route module,declaration parity verified; handler behavior unchanged
198,/api/adminconsole/filterlists/{id}/domains,ParentalControlFilterListsController,GET,adminconsole.parentalcontrol.filterlists.getdomains.route,,feature route module,declaration parity verified; handler behavior unchanged
199,/api/adminconsole/filterlists/{id}/update,ParentalControlFilterListsController,PUT,adminconsole.parentalcontrol.filterlists.update.route,,feature route module,declaration parity verified; handler behavior unchanged
200,/api/adminconsole/filterlists/{id},ParentalControlFilterListsController,DELETE,adminconsole.parentalcontrol.filterlists.delete.route,,feature route module,declaration parity verified; handler behavior unchanged
201,/api/adminconsole/filterlists,ParentalControlFilterListsController,POST,adminconsole.parentalcontrol.filterlists.create.route,,feature route module,declaration parity verified; handler behavior unchanged
202,/api/adminconsole/filterlists/unique,ParentalControlFilterListsController,GET,adminconsole.parentalcontrol.filterlists.unique.route,,feature route module,declaration parity verified; handler behavior unchanged
